LEGO ID,LEGO Name,Bricklink ID,Bricklink Name,Pantone,Pantone HEX,Red,Green,Blue,Material
309,Metalized Silver,22,Chrome Silver,,Chrome_Silver,206,206,206,Chrome
310,Metalized Gold,21,Chrome Gold,,Chrome_Gold,223,193,118,Chrome
114,Transparent Pink Glitter / Transparent Medium Reddish Violet Glitter,100,Glitter Trans-Dark Pink,,Glitter_Trans_Dark_Pink,254,0,254,Glitter
117,Transparent with Glitter,101,Glitter Trans-Clear,,Glitter_Trans_Clear,247,247,247,Glitter
122,Nature with Glitter,,,,,254,203,152,Glitter
129,Transparent Bluish Violet (Glitter),102,Glitter Trans-Purple,,Glitter_Trans_Purple,67,84,147,Glitter
132,Black Glitter,,,,Speckle_Black_Silver,0,0,0,Glitter
173,(transparent red glitter)*,,,,,,,,Glitter
174,(transparent blue glitter)*,,,,,,,,Glitter
175,Transparent Green with Glitter,,,,,,,,Glitter
302,Transparent Light Blue with Glitter,162,Glitter Trans-Light Blue,,,,,,Glitter
339,Transparent Fluorescent Green with Glitter,163,Glitter Trans-Neon Green,,,,,,Glitter
298,Cool Silver or Drum Lacquered,67,Metallic Silver,,Metallic_Silver,118,118,118,Metallic
299,Warm Gold or Drum Lacquered / Gold Metalized / Gold Laquered,65,Metallic Gold,,Metallic Gold,223,193,118,Metallic
300,Copper or Drum Lacquered,,,,,,,,Metallic
20,Nature,60,Milky White,,Milky_White,223,223,223,Milky
50,Phosphorescent White,46,Glow In Dark Opaque,427 C,Glow_In_Dark_Opaque,229,223,211,Milky
294,Phosphorescent Green,118,Glow In Dark Trans,,Glow_In_Dark_Trans,213,220,138,Milky
329,White Glow,159,Glow in Dark White,7485 C,,245,243,215,Milky
127,Gold,61,Pearl Light Gold,156 C,Pearl_Light_Gold,222,172,102,Pearl
131,Silver,66,Pearl Light Gray or Flat Silver,429 C,Pearl_Light_Gray,160,160,160,Pearl
139,Copper,84,Copper*,,Copper,118,77,59,Pearl
145,Metallic Sand Blue,78,Metal Blue*,652 C,Metal_Blue,91,117,144,Pearl
146,Metallic Sand Violet,,,5285 C,,129,117,144,Pearl
147,Metallic Sand Yellow,81,Flat Dark Gold,873 C,Flat_Dark_Gold,131,114,79,Pearl
148,Metallic Dark Grey,77,Pearl Dark Gray*,446 C,Pearl_Dark_Gray,72,77,72,Pearl
149,Metallic Black,,,2767 C,Metallic_Black,10,19,39,Pearl
150,Metallic Light Grey,119,Pearl Very Light Gray,422 C,Pearl_Very_Light_Gray,152,155,153,Pearl
168,Gun Metallic,,,WarmGrey 11 C,,96,86,76,Pearl
176,Red Flip/Flop,,,483 C,,148,81,72,Pearl
178,Yellow Flip/Flop,,,160 C,,171,103,58,Pearl
179,Silver Flip/Flop,95,,410 C,,115,114,113,Pearl
183,Metallic White,83,Pearl White,,Pearl_White,246,242,223,Pearl
184,Metallic Bright Red,,,,,214,0,38,Pearl
185,Metallic Bright Blue,,,,,0,89,163,Pearl
186,Metallic Dark Green,,,,,0,142,60,Pearl
187,Metallic Earth Orange,,,,,87,57,44,Pearl
189,Reddish Gold / Gold Metallic,,,,,172,130,71,Pearl
200,Lemon Metallic,70,Metallic Green*,5767 C,,106,121,68,Pearl
296,Cool Silver,61,Pearl Light Gray*,,,173,173,173,Pearl
297,Warm Gold,115,Pearl Gold,1255 C,Pearl_Gold,185,149,59,Pearl
301,Silver,66,Pearl Light Gray or Flat Silver,429 C,Pearl_Light_Gray,160,160,160,Pearl
315,Silver Metallic,95,Flat Silver*,430 C,,140,140,140,Pearl
316,Titanium Metallic,77,Pearl Dark Gray*,425 C,Metallic_Dark_Gray,62,60,57,Pearl
1,White,1,White,CoolGray 1 C,D9D9D6,217,217,214,Solid
2,Grey,9,Light Gray,422 C,9EA2A2,158,162,162,Solid
3,Light Yellow,33,Light Yellow,1215 C,FBD872,251,216,114,Solid
4,Brick Red,106,Fabuland Brown,7416 C,E56A54,229,106,84,Solid
5,Brick Yellow,2,Tan*,467 C,D3BC8D,211,188,141,Solid
6,Light Green,38,Light Green,351 C,A2E4B8,162,228,184,Solid
7,Orange,,,715 C,F68D2E,246,141,46,Solid
8,Cobalt Blue,0,0,,0,140,0,255,Solid
9,Light Reddish Violet,23,Pink*,203 C,ECB3CB,236,179,203,Solid
11,Pastel Blue,72,Maersk Blue,277 C,ABCAE9,171,202,233,Solid
12,Light Orange Brown,29,Earth Orange,1385 C,D57800,213,120,0,Solid
